qSpecies,count,avgDBH
Ulmus parvifolia 'Sempervirens' :: Weeping Chinese Elm,1,3
Ulmus parvifolia :: Chinese Elm,558,13.56630824
Ulmus procera :: English Elm,1,9
Ulmus pumila :: Siberian Elm,89,31.34831461
Ulmus spp :: Elm Spp,52,15.46153846
Umbellularia californica :: California Bay,7,7
Viburnum odoratissimum var. awabuki :: Sweet viburnum,2,9.5
Vitex lucens :: Puriri tree,1,5
Washingtonia filifera :: California Fan Palm,4,2.75
Washingtonia robusta :: Mexican Fan Palm,232,15.22844828
Yucca elephantipes :: Giant Yucca,8,13.875
Yucca gloriosa :: Spanish Dagger,102,12.62745098
Yucca spp :: Yucca,3,14.33333333
Zelkova serrata :: Sawleaf Zelkova,13,5.692307692
